distance,pixel_width,diameter
1.6328125,128.0,45.83662414550781
1.21875,161.0,45.83662414550781
0.9951171875,195.0,45.83662414550781
1.3271484375,153.0,45.83662414550781
2.44921875,89.0,45.83662414550781
1.8388671875,109.0,45.83662414550781
0.9501953125,208.0,45.83662414550781
2.044921875,106.0,45.83662414550781
3.20703125,72.0,45.83662414550781
1.78125,86.0,30.557748794555664
1.4111328125,132.0,35.01408767700195
1.2763671875,132.0,40.42535400390625
1.169921875,86.0,22.440845489501953
1.4443359375,72.0,22.28169059753418
0.8955078125,172.0,35.65070724487305
2.10546875,110.0,44.881690979003906
1.9599609375,79.0,30.239439010620117
0.783203125,208.0,34.2819709777832
2.220703125,69.0,34.2819709777832
1.380859375,114.0,34.2819709777832
0.82470703125,169.0,34.2819709777832
1.5009765625,108.0,34.2819709777832
1.3232421875,86.0,22.027042388916016
0.9501953125,94.0,22.027042388916016
1.16015625,89.0,22.027042388916016
1.3857421875,74.0,22.027042388916016
1.3740234375,64.0,18.302818298339844
0.8173828125,108.0,18.302818298339844
0.87548828125,81.0,14.323944091796875
1.146484375,62.0,14.323944091796875
0.7734375,80.0,14.323944091796875
2.232421875,47.0,22.122535705566406
1.65625,64.0,22.122535705566406
0.849609375,132.0,22.122535705566406
2.7578125,37.0,22.122535705566406
1.6865234375,62.0,22.122535705566406
0.444580078125,205.0,22.122535705566406
0.425048828125,240.0,22.122535705566406
0.9072265625,175.0,39.47042465209961
0.69580078125,224.0,39.47042465209961
1.2509765625,139.0,39.47042465209961
2.517578125,73.0,39.47042465209961
3.197265625,59.0,39.47042465209961
